v-sweep,v-sweep_1,Vin,Iout,Vout,Vref
0.37,0.37,0.37,-9.11378E-07,0.9,0.9
0.371,0.371,0.371,-9.11378E-07,0.9,0.9
0.372,0.372,0.372,-9.11378E-07,0.9,0.9
0.373,0.373,0.373,-9.11378E-07,0.9,0.9
0.374,0.374,0.374,-9.11378E-07,0.9,0.9
0.375,0.375,0.375,-9.11378E-07,0.9,0.9
0.376,0.376,0.376,-9.11378E-07,0.9,0.9
0.377,0.377,0.377,-9.11378E-07,0.9,0.9
0.378,0.378,0.378,-9.11378E-07,0.9,0.9
0.379,0.379,0.379,-9.11378E-07,0.9,0.9
0.38,0.38,0.38,-9.11378E-07,0.9,0.9
0.381,0.381,0.381,-9.11378E-07,0.9,0.9
0.382,0.382,0.382,-9.11378E-07,0.9,0.9
0.383,0.383,0.383,-9.11377E-07,0.9,0.9
0.384,0.384,0.384,-9.11377E-07,0.9,0.9
0.385,0.385,0.385,-9.11377E-07,0.9,0.9
0.386,0.386,0.386,-9.11377E-07,0.9,0.9
0.387,0.387,0.387,-9.11377E-07,0.9,0.9
0.388,0.388,0.388,-9.11377E-07,0.9,0.9
0.389,0.389,0.389,-9.11377E-07,0.9,0.9
0.39,0.39,0.39,-9.11377E-07,0.9,0.9
0.391,0.391,0.391,-9.11377E-07,0.9,0.9
0.392,0.392,0.392,-9.11377E-07,0.9,0.9
0.393,0.393,0.393,-9.11377E-07,0.9,0.9
0.394,0.394,0.394,-9.11377E-07,0.9,0.9
0.395,0.395,0.395,-9.11377E-07,0.9,0.9
0.396,0.396,0.396,-9.11377E-07,0.9,0.9
0.397,0.397,0.397,-9.11377E-07,0.9,0.9
0.398,0.398,0.398,-9.11377E-07,0.9,0.9
0.399,0.399,0.399,-9.11377E-07,0.9,0.9
0.4,0.4,0.4,-9.11377E-07,0.9,0.9
0.401,0.401,0.401,-9.11377E-07,0.9,0.9
0.402,0.402,0.402,-9.11377E-07,0.9,0.9
0.403,0.403,0.403,-9.11377E-07,0.9,0.9
0.404,0.404,0.404,-9.11377E-07,0.9,0.9
0.405,0.405,0.405,-9.11376E-07,0.9,0.9
0.406,0.406,0.406,-9.11376E-07,0.9,0.9
0.407,0.407,0.407,-9.11376E-07,0.9,0.9
0.408,0.408,0.408,-9.11376E-07,0.9,0.9
0.409,0.409,0.409,-9.11376E-07,0.9,0.9
0.41,0.41,0.41,-9.11376E-07,0.9,0.9
0.411,0.411,0.411,-9.11376E-07,0.9,0.9
0.412,0.412,0.412,-9.11376E-07,0.9,0.9
0.413,0.413,0.413,-9.11376E-07,0.9,0.9
0.414,0.414,0.414,-9.11376E-07,0.9,0.9
0.415,0.415,0.415,-9.11376E-07,0.9,0.9
0.416,0.416,0.416,-9.11376E-07,0.9,0.9
0.417,0.417,0.417,-9.11376E-07,0.9,0.9
0.418,0.418,0.418,-9.11375E-07,0.9,0.9
0.419,0.419,0.419,-9.11375E-07,0.9,0.9
0.42,0.42,0.42,-9.11375E-07,0.9,0.9
0.421,0.421,0.421,-9.11375E-07,0.9,0.9
0.422,0.422,0.422,-9.11375E-07,0.9,0.9
0.423,0.423,0.423,-9.11375E-07,0.9,0.9
0.424,0.424,0.424,-9.11375E-07,0.9,0.9
0.425,0.425,0.425,-9.11375E-07,0.9,0.9
0.426,0.426,0.426,-9.11375E-07,0.9,0.9
0.427,0.427,0.427,-9.11375E-07,0.9,0.9
0.428,0.428,0.428,-9.11374E-07,0.9,0.9
0.429,0.429,0.429,-9.11374E-07,0.9,0.9
0.43,0.43,0.43,-9.11374E-07,0.9,0.9
0.431,0.431,0.431,-9.11374E-07,0.9,0.9
0.432,0.432,0.432,-9.11374E-07,0.9,0.9
0.433,0.433,0.433,-9.11374E-07,0.9,0.9
0.434,0.434,0.434,-9.11374E-07,0.9,0.9
0.435,0.435,0.435,-9.11374E-07,0.9,0.9
0.436,0.436,0.436,-9.11373E-07,0.9,0.9
0.437,0.437,0.437,-9.11373E-07,0.9,0.9
0.438,0.438,0.438,-9.11373E-07,0.9,0.9
0.439,0.439,0.439,-9.11373E-07,0.9,0.9
0.44,0.44,0.44,-9.11373E-07,0.9,0.9
0.441,0.441,0.441,-9.11373E-07,0.9,0.9
0.442,0.442,0.442,-9.11372E-07,0.9,0.9
0.443,0.443,0.443,-9.11372E-07,0.9,0.9
0.444,0.444,0.444,-9.11372E-07,0.9,0.9
0.445,0.445,0.445,-9.11372E-07,0.9,0.9
0.446,0.446,0.446,-9.11372E-07,0.9,0.9
0.447,0.447,0.447,-9.11371E-07,0.9,0.9
0.448,0.448,0.448,-9.11371E-07,0.9,0.9
0.449,0.449,0.449,-9.11371E-07,0.9,0.9
0.45,0.45,0.45,-9.11371E-07,0.9,0.9
0.451,0.451,0.451,-9.11371E-07,0.9,0.9
0.452,0.452,0.452,-9.1137E-07,0.9,0.9
0.453,0.453,0.453,-9.1137E-07,0.9,0.9
0.454,0.454,0.454,-9.1137E-07,0.9,0.9
0.455,0.455,0.455,-9.1137E-07,0.9,0.9
0.456,0.456,0.456,-9.11369E-07,0.9,0.9
0.457,0.457,0.457,-9.11369E-07,0.9,0.9
0.458,0.458,0.458,-9.11369E-07,0.9,0.9
0.459,0.459,0.459,-9.11369E-07,0.9,0.9
0.46,0.46,0.46,-9.11368E-07,0.9,0.9
0.461,0.461,0.461,-9.11368E-07,0.9,0.9
0.462,0.462,0.462,-9.11368E-07,0.9,0.9
0.463,0.463,0.463,-9.11367E-07,0.9,0.9
0.464,0.464,0.464,-9.11367E-07,0.9,0.9
0.465,0.465,0.465,-9.11367E-07,0.9,0.9
0.466,0.466,0.466,-9.11366E-07,0.9,0.9
0.467,0.467,0.467,-9.11366E-07,0.9,0.9
0.468,0.468,0.468,-9.11366E-07,0.9,0.9
0.469,0.469,0.469,-9.11365E-07,0.9,0.9
0.47,0.47,0.47,-9.11365E-07,0.9,0.9
0.471,0.471,0.471,-9.11364E-07,0.9,0.9
0.472,0.472,0.472,-9.11364E-07,0.9,0.9
0.473,0.473,0.473,-9.11364E-07,0.9,0.9
0.474,0.474,0.474,-9.11363E-07,0.9,0.9
0.475,0.475,0.475,-9.11363E-07,0.9,0.9
0.476,0.476,0.476,-9.11362E-07,0.9,0.9
0.477,0.477,0.477,-9.11362E-07,0.9,0.9
