Vin,Vout,Vref
0.628,0.009644385,0.7
0.629,0.009801663,0.7
0.63,0.009963461,0.7
0.631,0.010129922,0.7
0.632,0.010301195,0.7
0.633,0.010477447,0.7
0.634,0.010658838,0.7
0.635,0.010845545,0.7
0.636,0.011037745,0.7
0.637,0.011235631,0.7
0.638,0.011439396,0.7
0.639,0.011649252,0.7
0.64,0.011865414,0.7
0.641,0.012088108,0.7
0.642,0.012317575,0.7
0.643,0.012554063,0.7
0.644,0.012797839,0.7
0.645,0.01304918,0.7
0.646,0.013308377,0.7
0.647,0.013575742,0.7
0.648,0.0138516,0.7
0.649,0.014136295,0.7
0.65,0.014430195,0.7
0.651,0.014733688,0.7
0.652,0.015047183,0.7
0.653,0.015371118,0.7
0.654,0.015705961,0.7
0.655,0.016052208,0.7
0.656,0.016410392,0.7
0.657,0.016781083,0.7
0.658,0.017164889,0.7
0.659,0.017562466,0.7
0.66,0.017974521,0.7
0.661,0.018401812,0.7
0.662,0.018845165,0.7
0.663,0.019305477,0.7
0.664,0.019783712,0.7
0.665,0.020280929,0.7
0.666,0.020798282,0.7
0.667,0.021337038,0.7
0.668,0.021898587,0.7
0.669,0.022484465,0.7
0.67,0.02309637,0.7
0.671,0.023736189,0.7
0.672,0.02440603,0.7
0.673,0.025108254,0.7
0.674,0.025845517,0.7
0.675,0.026620826,0.7
0.676,0.027437607,0.7
0.677,0.028299775,0.7
0.678,0.029211834,0.7
0.679,0.030179024,0.7
0.68,0.031207443,0.7
0.681,0.032304298,0.7
0.682,0.033478156,0.7
0.683,0.034739281,0.7
0.684,0.036100142,0.7
0.685,0.037576066,0.7
0.686,0.039186129,0.7
0.687,0.040954471,0.7
0.688,0.042912092,0.7
0.689,0.045099716,0.7
0.69,0.047571835,0.7
0.691,0.0504034,0.7
0.692,0.053700339,0.7
0.693,0.057617439,0.7
0.694,0.062389609,0.7
0.695,0.068388979,0.7
0.696,0.076235679,0.7
0.697,0.087160734,0.7
0.698,0.10329263,0.7
0.699,0.131035016,0.7
0.7,0.504775897,0.7
0.701,1.60328617,0.7
0.702,1.64558525,0.7
0.703,1.66898463,0.7
0.704,1.686004,0.7
0.705,1.69779265,0.7
0.706,1.70649513,0.7
0.707,1.71335317,0.7
0.708,1.71892444,0.7
0.709,1.72355999,0.7
0.71,1.72750544,0.7
0.711,1.73092846,0.7
0.712,1.73394555,0.7
0.713,1.73664007,0.7
0.714,1.73907318,0.7
0.715,1.74129082,0.7
0.716,1.74332811,0.7
0.717,1.74521245,0.7
0.718,1.74696553,0.7
0.719,1.7486048,0.7
0.72,1.7501444,0.7
0.721,1.75159602,0.7
0.722,1.75296938,0.7
0.723,1.75427262,0.7
0.724,1.75551267,0.7
0.725,1.75669541,0.7
0.726,1.75782594,0.7
0.727,1.75890863,0.7
0.728,1.75994732,0.7
0.729,1.76094537,0.7
0.73,1.76190572,0.7
0.731,1.76283101,0.7
0.732,1.76372356,0.7
0.733,1.76458545,0.7
0.734,1.76541855,0.7
0.735,1.76622454,0.7
0.736,1.76700493,0.7
0.737,1.76776113,0.7
0.738,1.76849437,0.7
0.739,1.76920579,0.7
0.74,1.76989647,0.7
0.741,1.77056735,0.7
0.742,1.77121933,0.7
0.743,1.77185322,0.7
0.744,1.77246979,0.7
0.745,1.77306974,0.7
0.746,1.77365373,0.7
0.747,1.77422237,0.7
0.748,1.77477622,0.7
0.749,1.77531583,0.7
0.75,1.7758417,0.7
0.751,1.77635429,0.7
0.752,1.77685406,0.7
0.753,1.77734142,0.7
0.754,1.77781677,0.7
0.755,1.77828049,0.7
0.756,1.77873293,0.7
0.757,1.77917443,0.7
0.758,1.77960531,0.7
0.759,1.78002588,0.7
0.76,1.78043643,0.7
0.761,1.78083725,0.7
0.762,1.78122859,0.7
0.763,1.78161073,0.7
0.764,1.78198389,0.7
0.765,1.78234833,0.7
0.766,1.78270426,0.7
0.767,1.78305192,0.7
0.768,1.78339149,0.7
0.769,1.7837232,0.7
0.77,1.78404724,0.7
0.771,1.78436379,0.7
0.772,1.78467304,0.7
0.773,1.78497517,0.7
0.774,1.78527035,0.7
0.775,1.78555874,0.7
0.776,1.78584051,0.7
0.777,1.78611582,0.7
0.778,1.78638482,0.7
0.779,1.78664765,0.7
0.78,1.78690446,0.7
0.781,1.78715539,0.7
0.782,1.78740058,0.7
0.783,1.78764016,0.7
0.784,1.78787425,0.7
0.785,1.788103,0.7
0.786,1.7883265,0.7
0.787,1.7885449,0.7
0.788,1.7887583,0.7
0.789,1.78896682,0.7
0.79,1.78917057,0.7
0.791,1.78936966,0.7
0.792,1.78956419,0.7
0.793,1.78975427,0.7
0.794,1.78994001,0.7
0.795,1.79012149,0.7
0.796,1.79029882,0.7
0.797,1.79047209,0.7
0.798,1.7906414,0.7
0.799,1.79080683,0.7
0.8,1.79096847,0.7
0.801,1.79112642,0.7
0.802,1.79128074,0.7
0.803,1.79143154,0.7
0.804,1.79157888,0.7
0.805,1.79172285,0.7
0.806,1.79186353,0.7
0.807,1.79200099,0.7
0.808,1.7921353,0.7
0.809,1.79226654,0.7
0.81,1.79239478,0.7
0.811,1.79252009,0.7
0.812,1.79264254,0.7
0.813,1.79276219,0.7
0.814,1.79287911,0.7
0.815,1.79299336,0.7
0.816,1.793105,0.7
0.817,1.79321411,0.7
0.818,1.79332073,0.7
0.819,1.79342492,0.7
0.82,1.79352674,0.7
0.821,1.79362626,0.7
0.822,1.79372351,0.7
0.823,1.79381856,0.7
0.824,1.79391146,0.7
0.825,1.79400225,0.7
0.826,1.794091,0.7
0.827,1.79417774,0.7
0.828,1.79426253,0.7
0.829,1.79434542,0.7
0.83,1.79442644,0.7
0.831,1.79450564,0.7
0.832,1.79458308,0.7
0.833,1.79465878,0.7
0.834,1.79473279,0.7
0.835,1.79480516,0.7
0.836,1.79487592,0.7
0.837,1.79494512,0.7
0.838,1.79501278,0.7
0.839,1.79507895,0.7
0.84,1.79514366,0.7
0.841,1.79520696,0.7
0.842,1.79526887,0.7
0.843,1.79532943,0.7
0.844,1.79538866,0.7
0.845,1.79544662,0.7
0.846,1.79550332,0.7
0.847,1.79555879,0.7
0.848,1.79561308,0.7
0.849,1.7956662,0.7
0.85,1.79571818,0.7
0.851,1.79576906,0.7
0.852,1.79581887,0.7
0.853,1.79586761,0.7
0.854,1.79591534,0.7
0.855,1.79596206,0.7
0.856,1.79600781,0.7
0.857,1.79605261,0.7
0.858,1.79609648,0.7
0.859,1.79613945,0.7
0.86,1.79618153,0.7
0.861,1.79622277,0.7
0.862,1.79626316,0.7
0.863,1.79630273,0.7
0.864,1.79634152,0.7
0.865,1.79637952,0.7
0.866,1.79641677,0.7
0.867,1.79645328,0.7
0.868,1.79648908,0.7
0.869,1.79652418,0.7
0.87,1.79655859,0.7
0.871,1.79659234,0.7
0.872,1.79662544,0.7
0.873,1.79665792,0.7
0.874,1.79668977,0.7
0.875,1.79672103,0.7
0.876,1.7967517,0.7
0.877,1.7967818,0.7
0.878,1.79681135,0.7
0.879,1.79684036,0.7
0.88,1.79686883,0.7
0.881,1.7968968,0.7
0.882,1.79692427,0.7
0.883,1.79695124,0.7
0.884,1.79697775,0.7
0.885,1.79700379,0.7
0.886,1.79702938,0.7
0.887,1.79705453,0.7
0.888,1.79707925,0.7
0.889,1.79710355,0.7
0.89,1.79712745,0.7
0.891,1.79715095,0.7
0.892,1.79717406,0.7
0.893,1.7971968,0.7
0.894,1.79721917,0.7
0.895,1.79724119,0.7
0.896,1.79726285,0.7
0.897,1.79728418,0.7
0.898,1.79730518,0.7
0.899,1.79732585,0.7
0.9,1.79734621,0.7
0.901,1.79736627,0.7
0.902,1.79738602,0.7
0.903,1.79740549,0.7
0.904,1.79742467,0.7
0.905,1.79744358,0.7
0.906,1.79746222,0.7
0.907,1.7974806,0.7
0.908,1.79749872,0.7
0.909,1.79751659,0.7
0.91,1.79753422,0.7
0.911,1.79755161,0.7
0.912,1.79756878,0.7
0.913,1.79758572,0.7
0.914,1.79760244,0.7
0.915,1.79761895,0.7
0.916,1.79763525,0.7
0.917,1.79765134,0.7
0.918,1.79766724,0.7
0.919,1.79768295,0.7
0.92,1.79769847,0.7
0.921,1.79771381,0.7
0.922,1.79772897,0.7
0.923,1.79774395,0.7
0.924,1.79775877,0.7
0.925,1.79777342,0.7
0.926,1.79778791,0.7
0.927,1.79780224,0.7
0.928,1.79781642,0.7
0.929,1.79783045,0.7
0.93,1.79784433,0.7
0.931,1.79785808,0.7
0.932,1.79787168,0.7
0.933,1.79788515,0.7
0.934,1.79789849,0.7
0.935,1.7979117,0.7
0.936,1.79792478,0.7
0.937,1.79793774,0.7
0.938,1.79795058,0.7
0.939,1.79796331,0.7
0.94,1.79797592,0.7
0.941,1.79798842,0.7
0.942,1.79800081,0.7
0.943,1.7980131,0.7
0.944,1.79802528,0.7
0.945,1.79803736,0.7
0.946,1.79804935,0.7
0.947,1.79806124,0.7
0.948,1.79807303,0.7
0.949,1.79808474,0.7
0.95,1.79809635,0.7
0.951,1.79810788,0.7
0.952,1.79811932,0.7
0.953,1.79813068,0.7
0.954,1.79814196,0.7
0.955,1.79815316,0.7
0.956,1.79816428,0.7
0.957,1.79817532,0.7
0.958,1.79818629,0.7
0.959,1.79819719,0.7
0.96,1.79820802,0.7
0.961,1.79821878,0.7
0.962,1.79822947,0.7
0.963,1.79824009,0.7
0.964,1.79825065,0.7
0.965,1.79826115,0.7
0.966,1.79827159,0.7
0.967,1.79828196,0.7
0.968,1.79829228,0.7
0.969,1.79830253,0.7
0.97,1.79831273,0.7
0.971,1.79832288,0.7
0.972,1.79833297,0.7
0.973,1.79834301,0.7
0.974,1.79835299,0.7
0.975,1.79836293,0.7
0.976,1.79837281,0.7
0.977,1.79838265,0.7
0.978,1.79839244,0.7
0.979,1.79840217,0.7
0.98,1.79841187,0.7
0.981,1.79842152,0.7
